Id,XMIN,XMAX,YMIN,YMAX,XMIN_2,XMAX_2,YMIN_2,YMAX_2,Detection,R1,R2,R3,R4,knownOccu,SiteSize,Regiao,Area,MEANELEV,MINELEV,MAXELEV,MEDDN,estimado,ME
81,781800,783000,7512000,7513000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Aldeia Velha,81277809.6819,160,40,280,40,0,0.370247515461852
82,784200,785400,7512000,7513000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Aldeia Velha,81277809.6819,233.333333333333,80,380,50,0,0.870779871766431
83,785400,786600,7513000,7514000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Aldeia Velha,81277809.6819,247.368421052632,100,400,51,0,0.344905021772725
108,NULL,NULL,NULL,NULL,769300,770100,7512000,7512600,0,0,0,0,0,,P,Aldeia Velha,81277809.6819,196.923076923077,80,300,43,0,0.344905021772725
109,NULL,NULL,NULL,NULL,770900,771700,7512600,7513200,0,0,0,0,0,,P,Aldeia Velha,81277809.6819,260,160,360,52,0,0.970484837604544
110,NULL,NULL,NULL,NULL,771700,772500,7513200,7513800,0,0,0,0,0,,P,Aldeia Velha,81277809.6819,390,280,500,59,0,0.970484837604544
111,NULL,NULL,NULL,NULL,790100,790900,7513200,7513800,0,0,0,0,0,,P,Aldeia Velha,81277809.6819,200,80,320,45,0,0.970484837604544
44,NULL,NULL,NULL,NULL,770100,770900,7510200,7510800,1,0,1,,,,P,Aldeia Velha,81277809.6819,229.473684210526,100,340,46,1,0.83951347555768
19,773400,774600,7511000,7512000,NULL,NULL,NULL,NULL,1,1,,,,1,G,Aldeia Velha,81277809.6819,292,120,460,54,1,0.956804523116831
20,774600,775800,7513000,7514000,NULL,NULL,NULL,NULL,1,1,,,,,G,Aldeia Velha,81277809.6819,330,100,560,50,1,0.957001128068588
25,778200,779400,7514000,7515000,NULL,NULL,NULL,NULL,1,1,,,,,G,Aldeia Velha,81277809.6819,278.666666666667,140,400,52,1,0.957001128068588
26,778200,779400,7516000,7517000,NULL,NULL,NULL,NULL,1,1,,,,,G,Aldeia Velha,81277809.6819,430,180,680,39,1,0.970484837604544
54,NULL,NULL,NULL,NULL,775700,776500,7510800,7511400,1,1,,,,1,P,Aldeia Velha,81277809.6819,320,180,460,47,1,0.970484837604544
58,745800,747000,7496000,7497000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,250,120,380,50,0,0.748505360217564
59,747000,748200,7490000,7491000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,137.777777777778,60,220,37,0,0.748505360217564
60,748200,749400,7494000,7495000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,300,160,440,55,0,0.610040063579452
62,749400,750600,7494000,7495000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,306.666666666667,140,480,57,0,0.365762170116703
63,750600,751800,7499000,7500000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,350.666666666667,160,500,60,0,0.365762170116703
64,751800,753000,7498000,7499000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,402.105263157895,280,560,66,0,0.841853183206134
65,753000,754200,7497000,7498000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,332,180,440,60,0,0.971908977957864
66,754200,755400,7498000,7499000,NULL,NULL,NULL,NULL,0,0,0,0,0,,G,Gavioes,103506954.77,390,200,540,62,0,0.971908977957864
