frag,Area,nroad,nurb
0,20822.16,2500.62757526,18293.3027237
1,105695.61,2013.12128301,17373.9632804
2,13817.12,1836.49208456,16981.6499842
3,61899.2,63.1086132,16677.4077123
4,107191.1,1300.0234201,16836.5642574
5,132630.78,523.54860978,15479.3252027
6,1039930.6,541.81802301,15737.352704
7,173209.87,951.7592597,14715.2761681
8,227136.93,5,15375.5497513
9,100722.6,99.82047146,13898.0169864
10,136383.01,5,13728.0208757
11,253567.27,99.8297558,13221.2177994
12,141605.21,5,13350.4716477
13,2566506.77,306.05379034,16008.2276562
14,219660.42,559.22418984,12766.1381826
15,119161.82,29.63460076,13937.7903393
16,280242.79,192.83829008,13732.1355439
17,159946.56,1271.74674329,14854.8157669
18,151336.02,621.19362808,12285.041236
19,133036.76,1823.07986913,14417.7283907
20,200759.18,170.0787543,12558.7949998
21,197035.07,893.94530763,11421.3285988
22,337324.18,1106.26026221,14738.6449003
23,167212.97,175.32270411,10748.5438954
24,168752.94,115.20482729,12005.0352354
25,231617.35,449.79840523,11144.2112265
26,132448.69,5,11476.1040551
27,136536.92,5,12311.277776
28,131426.79,547.97357968,11108.9607213
29,725457.86,313.92425352,10795.4269601
30,154556.04,648.39336263,9604.86232528
31,1947562.93,83.58547828,12220.1999606
32,254682.13,1296.80786688,8680.19028841
33,211119.85,111.294461,11022.3715382
34,107835.2,1172.53315063,8788.8495372
35,299283.98,232.35753949,10745.2496111
36,305654.07,1112.84748581,9640.21186762
37,235283.75,228.60540988,12340.1529266
38,139180.82,412.67352375,13313.2765847
39,109963.22,152.22472592,8330.6269109
40,483634.1,895.72381707,7879.13430705
41,320950.35,77.05149154,9450.43797298
42,429856.19,5,8230.04700534
43,321013.27,748.1478106,6782.05677332
44,845263.96,303.04867474,6819.52565531
45,119046.89,486.29790751,9235.75759224
46,191770.94,231.38417318,11287.4590498
47,132682,1243.86713504,7741.46037963
48,194990.85,331.00430884,5648.33744902
49,241459.88,114.47678024,7046.41334668
50,490172.3,92.15903544,5261.11461442
51,243983.89,816.81778115,5844.08104715
52,109084.39,5,8975.31858871
53,105287.06,469.74815831,12250.8537502
54,107526.94,388.17935964,8048.42901757
55,162067,314.75608787,8294.15326962
56,217794.98,5,6689.91374299
57,740284.99,5,5482.75229323
58,546903.1,19.88401647,6662.11980542
59,454928.47,5,4134.72695041
60,141171.26,776.48515865,10771.4809179
61,335406.26,419.43884579,3852.82659492
62,552630.37,5,4643.6015997
63,199975.05,786.87134419,3713.69948118
64,9535631.51,4.83181801,1600
65,237987.87,5,3165.67899945
66,140205.15,288.37441602,4238.87324379
67,389645.85,1104.98005598,4691.28577216
68,124328.36,854.11181724,3147.89240113
69,504617.68,5,5262.09687453
70,150621.83,406.71444045,2352.31539742
71,102248.7,5,3327.50125166
72,20595.41,1240.33775893,14388.837818
73,459958.45,604.91120846,4750.7385168
74,1076838.14,47.54159882,6404.0720628
75,176873.88,76.70472779,11093.8100588
76,115885.55,1034.56274373,1951.12837292
77,396212.13,98.08629059,3723.37960922
78,118853.59,223.39710571,4159.21948033
79,176578.81,189.68254765,4814.03412274
80,360859.74,72.86292084,4404.27287835
81,134749.96,605.83174478,15660.374348
82,165443.4,183.46018021,2918.0767867
83,263348.43,353.16757076,9091.2150349
84,459370.2,135.44489252,10182.3612812
85,867888.97,299.72848221,492.168398584
86,113141.65,170.79845708,3801.13101043
87,606827.99,5,18083.5873297
88,553147.07,206.24105067,2594.44762203
89,151728.13,74.8685157,14597.8005664
90,446909.54,28.82891803,959.010155039
91,518706.69,13.94279905,112.292890821
92,216328.11,856.12565112,2416.31654728
93,402092.62,1239.02551483,1670.25118004
94,118909.71,32.94749212,440.107713417
95,378066.87,1781.28857495,18321.9945435
96,157972.49,245.78659808,747.716146256
97,275566.31,577.63037574,16506.6541052
98,192540.66,245.6869986,0
99,312724.58,3.62066531,0
100,538034.22,259.81511886,11364.5211248
101,105860.84,1475.19969248,17302.8497026
102,3680503.03,239.0754951,3352.77039683
103,410250.12,4593.84277742,17857.4504274
104,212976.85,17.54192381,256.06027075
105,808762.82,80.05958602,321.710654433
106,201809.31,695.62553162,2218.73662392
107,221971.05,7992.45426083,16651.5200201
108,1740778.01,5,8361.70539827
109,111937.28,8448.25741077,16327.7499454
110,199009.29,8391.42995442,17423.1242999
111,281628.33,1083.14359067,28.4118307246
112,298121.96,341.24711074,12467.0255573
113,209383.79,7852.3483495,15456.7257101
114,289595.14,806.81252439,138.79372428
115,199765.11,1321.4309009,14411.6219179
116,102388.84,438.28596327,1417.72095456
117,237348.21,440.00246026,502.037316805
118,124958.24,697.5829911,8601.40879804
119,128780.52,781.3916494,0
120,1445094.11,531.60766892,3695.42481674
121,301972.41,7191.94372127,16233.8106553
122,343596.58,237.66784425,13975.1161958
123,216426.15,700.40641843,0
124,174956.58,491.12467686,1591.0422917
125,11.61,1347.76637942,771.873472708
126,111517.3,873.22674008,4456.09955178
127,151504.06,834.80567532,0
128,104054.98,454.065778,10757.9828115
129,189866.53,140.77012672,213.239977623
130,1030109.02,447.58888922,25.0234258162
131,111951.45,193.00831165,13222.1411053
132,728888.16,73.37058783,5711.753237
133,126512.36,112.67266571,0
134,184952.29,915.84526663,13325.6003857
135,138749.21,5,12349.4632465
136,136060.82,103.27789103,6038.70751812
137,265457.57,1380.56807414,13223.2557426
138,544856.93,5,6560.19929222
139,140023.16,536.04769524,914.087436623
140,174591.72,979.51564199,12910.2180643
141,119483.67,363.3029018,11787.9017089
142,265859.79,5195.19111324,13174.4352252
143,194221.01,1030.49349893,12599.6328513
144,656360.87,6103.23088242,12418.054912
145,128570.65,81.37622261,691.669410758
146,159554.51,253.25352684,12170.368282
147,116935.76,613.24918009,964.004793299
148,128954.65,5533.15938788,11680.9740262
149,4074891.72,5,1383.47745363
150,175333.57,202.89241446,10435.8421908
151,2067136.97,19.41604877,6.55034342981
152,109963.27,256.84247583,5647.29249601
153,112525.46,1236.7767507,11133.3181343
154,130680.45,3095.82702467,12692.824169
155,140034.6,3505.54212114,13295.7490171
156,142487.52,149.76338946,3578.78249527
157,197259.15,5,4536.158652
158,1863320.4,406.13866648,8873.79435539
159,182104.82,2492.38433482,12050.3342732
160,1475493.8,4142.67195327,9910.79074783
161,102304.77,80.56288721,4603.17598662
162,188841.43,1191.60389759,1946.79879389
163,106168.99,2017.17554085,10270.8451117
164,221004.54,12.34426096,5048.7864494
165,3984334,11.03186987,5660.31692794
166,103998.89,1529.34284178,10056.7633818
167,101184.64,1821.07075039,10168.7021546
168,120814.13,744.55813721,8590.17656599
169,108655.95,1637.2559618,11225.5496029
170,264505.66,637.38139602,7957.19425258
171,2932592.95,5,4425.34895303
172,132279.75,372.72979678,3470.32927145
173,162592.88,3609.61375102,8527.45611444
174,340558.5,2551.3644782,12300.8710181
175,281977.64,2242.15962631,10837.5996078
176,239107.93,3487.13248977,8745.60830598
177,235649.72,767.94906788,6239.05548543
178,947945,5,6881.57785156
179,3.83,369.99057793,6338.70891316
180,1986472.47,22.29656667,8515.33193663
181,12.21,362.81814996,6353.10901333
182,185344.04,1852.17037678,8193.55599261
183,46.75,354.41361658,6373.42154551
184,398148.55,3068.19974963,7967.80933275
185,338206.06,598.63303219,6610.21342853
186,231658.96,2871.90632792,7637.43107817
187,235313.42,2839.17662046,7751.79296217
188,124033.48,145.67174351,6248.67746797
189,712030.82,5,8016.89206585
190,222306.48,3182.35978465,8051.20486702
191,289525.08,1423.04653446,6519.51954746
192,1017138.79,170.18176127,3858.40240594
193,12.77,1053.05506237,5710.23978038
194,1.05,1095.88390739,5785.47184508
195,184700.2,2090.96063578,6381.77538141
196,716215.4,38.78692247,4582.35469761
197,131412.49,2023.39479841,11698.6245901
198,268719.79,2753.11561457,7525.38862848
199,103621.31,423.40847282,6500.98731915
200,670644.07,5,9189.93365927
